Date;Country;TargetGroup;Promedio de Denominator;Suma de NumberDosesReceived;Promedio de Population;excess_mortality
01/12/2020;Austria;Age<18;1543886;0;8901064;38,3
01/12/2020;Austria;Age0_4;433755;0;8901064;38,3
01/12/2020;Austria;Age10_14;423433;0;8901064;38,3
01/12/2020;Austria;Age15_17;258398;0;8901064;38,3
01/12/2020;Austria;Age18_24;683584;0;8901064;38,3
01/12/2020;Austria;Age25_49;3002329;0;8901064;38,3
01/12/2020;Austria;Age5_9;428300;0;8901064;38,3
01/12/2020;Austria;Age50_59;1399348;0;8901064;38,3
01/12/2020;Austria;Age60_69;1047888;0;8901064;38,3
01/12/2020;Austria;Age70_79;753524;0;8901064;38,3
01/12/2020;Austria;Age80+;502105;0;8901064;38,3
01/12/2020;Austria;ALL;7388778;61425;8901064;38,3
01/12/2020;Belgium;Age<18;2322671;;11522440;18,9
01/12/2020;Belgium;Age18_24;930132;;11522440;18,9
01/12/2020;Belgium;Age25_49;3756505;;11522440;18,9
01/12/2020;Belgium;Age50_59;1591843;;11522440;18,9
01/12/2020;Belgium;Age60_69;1368104;;11522440;18,9
01/12/2020;Belgium;Age70_79;949117;;11522440;18,9
01/12/2020;Belgium;Age80+;647669;;11522440;18,9
01/12/2020;Belgium;AgeUNK;;;11522440;18,9
01/12/2020;Belgium;ALL;9243370;9750;11522440;18,9
01/12/2020;Belgium;HCW;596219;;11522440;18,9
01/12/2020;Belgium;LTCF;;;11522440;18,9
01/12/2020;Bulgaria;Age18_24;429127;;6951482;74,2
01/12/2020;Bulgaria;Age25_49;2368125;;6951482;74,2
01/12/2020;Bulgaria;Age50_59;956606;;6951482;74,2
01/12/2020;Bulgaria;Age60_69;919675;;6951482;74,2
01/12/2020;Bulgaria;Age70_79;716566;;6951482;74,2
01/12/2020;Bulgaria;Age80+;335903;;6951482;74,2
01/12/2020;Bulgaria;AgeUNK;;;6951482;74,2
01/12/2020;Bulgaria;ALL;5726002;10725;6951482;74,2
01/12/2020;Bulgaria;HCW;243600;;6951482;74,2
01/12/2020;Bulgaria;LTCF;15000;;6951482;74,2
01/12/2020;Croatia;Age<18;691849;;4058165;60,7
01/12/2020;Croatia;Age0_4;181550;;4058165;60,7
01/12/2020;Croatia;Age10_14;202345;;4058165;60,7
01/12/2020;Croatia;Age15_17;116962;;4058165;60,7
01/12/2020;Croatia;Age18_24;311879;;4058165;60,7
01/12/2020;Croatia;Age25_49;1316007;;4058165;60,7
01/12/2020;Croatia;Age5_9;190992;;4058165;60,7
01/12/2020;Croatia;Age50_59;559125;;4058165;60,7
01/12/2020;Croatia;Age60_69;563719;;4058165;60,7
01/12/2020;Croatia;Age70_79;369464;;4058165;60,7
01/12/2020;Croatia;Age80+;224312;;4058165;60,7
01/12/2020;Croatia;AgeUNK;;;4058165;60,7
01/12/2020;Croatia;ALL;3344506;17550;4058165;60,7
01/12/2020;Croatia;HCW;75304;;4058165;60,7
01/12/2020;Croatia;LTCF;;;4058165;60,7
01/12/2020;Cyprus;Age18_24;82448;0;888005;12,7
01/12/2020;Cyprus;Age25_49;335491;0;888005;12,7
01/12/2020;Cyprus;Age50_59;108420;0;888005;12,7
01/12/2020;Cyprus;Age60_69;95695;0;888005;12,7
01/12/2020;Cyprus;Age70_79;67909;0;888005;12,7
01/12/2020;Cyprus;Age80+;34568;0;888005;12,7
01/12/2020;Cyprus;AgeUNK;;0;888005;12,7
01/12/2020;Cyprus;ALL;724531;16575;888005;12,7
01/12/2020;Cyprus;HCW;;0;888005;12,7
01/12/2020;Cyprus;LTCF;;0;888005;12,7
